Time,"Temp:Bigcore0_Thermal,0","Temp:Bigcore1_Thermal,0","Temp:Center_Thermal,0","Temp:Gpu_Thermal,0","Temp:Littlecore_Thermal,0","Temp:Npu_Thermal,0","Temp:Soc_Thermal,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7
2026-03-23_04:01:09,80.4,80.4,71.2,70.2,77.6,73.0,76.7,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:09,80.4,80.4,71.2,70.2,77.6,73.9,77.6,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:10,80.4,81.3,71.2,70.2,78.5,73.9,77.6,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:10,81.3,81.3,71.2,70.2,78.5,73.9,77.6,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:11,81.3,81.3,72.1,70.2,78.5,73.9,77.6,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:11,81.3,81.3,72.1,71.2,78.5,73.9,77.6,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:12,81.3,81.3,72.1,71.2,78.5,73.9,77.6,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:12,81.3,81.3,72.1,71.2,78.5,74.8,77.6,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:13,82.2,82.2,73.0,71.2,79.5,74.8,77.6,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:13,82.2,82.2,73.0,71.2,79.5,74.8,78.5,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:14,82.2,82.2,73.0,71.2,79.5,74.8,78.5,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:14,82.2,82.2,73.0,72.1,79.5,74.8,78.5,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:15,82.2,82.2,73.0,72.1,79.5,75.8,78.5,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:15,83.2,83.2,73.0,72.1,80.4,75.8,78.5,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:16,83.2,83.2,73.0,72.1,80.4,75.8,79.5,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:16,83.2,83.2,73.9,72.1,80.4,75.8,79.5,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:17,83.2,83.2,73.9,72.1,80.4,75.8,79.5,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:17,83.2,83.2,73.9,73.0,80.4,75.8,79.5,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:18,83.2,84.1,73.9,73.0,81.3,76.7,79.5,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:18,83.2,84.1,74.8,73.0,81.3,76.7,80.4,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:19,84.1,84.1,73.9,73.0,81.3,76.7,80.4,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:19,84.1,84.1,74.8,73.9,81.3,76.7,80.4,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:20,84.1,84.1,74.8,73.0,81.3,76.7,80.4,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:20,84.1,85.0,74.8,73.9,81.3,77.6,80.4,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
